Station,Time,DF,Treatment,HNF
2-1,T0,0,T0_6,94.62
2-1,T0,20,T0_7,145.42
2-1,T0,40,T0_8,140.44
2-1,T0,60,T0_9,155.39
2-1,T0,80,T0_10,197.21
2-1,T0,100,T0_11,241.04
2-1,T12,0,T12_6_1,100.6
2-1,T12,0,T12_6_2,110.56
2-1,T12,20,T12_7_1,186.27
2-1,T12,20,T12_7_2,228.09
2-1,T12,40,T12_8_1,328.69
2-1,T12,40,T12_8_2,307.77
2-1,T12,60,T12_9_1,460.26
2-1,T12,60,T12_9_2,565.74
2-1,T12,80,T12_10_1,406.38
2-1,T12,80,T12_10_2,374.5
2-1,T12,100,T12_11_1,297.81
2-1,T12,100,T12_11_2,339.65
2-1,T24,0,T24_6_1,23.9
2-1,T24,0,T24_6_2,34.86
2-1,T24,20,T24_7_1,131.48
2-1,T24,20,T24_7_2,87.65
2-1,T24,40,T24_8_1,215.15
2-1,T24,40,T24_8_2,159.36
2-1,T24,60,T24_9_1,213.16
2-1,T24,60,T24_9_2,313.75
2-1,T24,80,T24_10_1,424.3
2-1,T24,80,T24_10_2,371.52
2-1,T24,100,T24_11_1,287.85
2-1,T24,100,T24_11_2,341.63
6-1,T0,0,T0_6,30.88
6-1,T0,20,T0_7,52.79
6-1,T0,40,T0_8,47.81
6-1,T0,60,T0_9,53.79
6-1,T0,80,T0_10,69.72
6-1,T0,100,T0_11,96.61
6-1,T12,0,T12_6_1,33.86
6-1,T12,0,T12_6_2,15.94
6-1,T12,20,T12_7_1,78.69
6-1,T12,20,T12_7_2,83.67
6-1,T12,40,T12_8_1,119.52
6-1,T12,40,T12_8_2,100.6
6-1,T12,60,T12_9_1,225.1
6-1,T12,60,T12_9_2,234.06
6-1,T12,80,T12_10_1,306.77
6-1,T12,80,T12_10_2,283.87
6-1,T12,100,T12_11_1,165.34
6-1,T12,100,T12_11_2,187.25
6-1,T24,0,T24_6_1,248.01
6-1,T24,0,T24_6_2,114.55
6-1,T24,20,T24_7_1,390.45
6-1,T24,20,T24_7_2,386.46
6-1,T24,40,T24_8_1,474.11
6-1,T24,40,T24_8_2,431.28
6-1,T24,60,T24_9_1,587.69
6-1,T24,60,T24_9_2,632.48
6-1,T24,80,T24_10_1,664.4
6-1,T24,80,T24_10_2,599.6
6-1,T24,100,T24_11_1,332.67
6-1,T24,100,T24_11_2,528.89
6-3,T0,0,T0_6,48.67
6-3,T0,20,T0_7,86.57
6-3,T0,40,T0_8,123.38
6-3,T0,60,T0_9,177.12
