Experiment Name:,Exp_20200812_Virus

Tube Name:,Record Time:,Volume(μL):,Virus (x 10^6 particles/mL) = :,Comment:,All Events ,Time Events,singlets Events,VLP Events,VLP1 Events,VLP2 Events,V1 Events,V2 Events,noise Events,All Events  Events/μL(V),Time Events/μL(V),singlets Events/μL(V),VLP Events/μL(V),VLP1 Events/μL(V),VLP2 Events/μL(V),V1 Events/μL(V),V2 Events/μL(V),noise Events/μL(V),All Events  % Parent,Time % Parent,singlets % Parent,VLP % Parent,VLP1 % Parent,VLP2 % Parent,V1 % Parent,V2 % Parent,noise % Parent,All Events  % Total,Time % Total,singlets % Total,VLP % Total,VLP1 % Total,VLP2 % Total,V1 % Total,V2 % Total,noise % Total,All Events  Mean BL525-A,Time Mean BL525-A,singlets Mean BL525-A,VLP Mean BL525-A,VLP1 Mean BL525-A,VLP2 Mean BL525-A,V1 Mean BL525-A,V2 Mean BL525-A,noise Mean BL525-A,All Events  Mean VSSC-A,Time Mean VSSC-A,singlets Mean VSSC-A,VLP Mean VSSC-A,VLP1 Mean VSSC-A,VLP2 Mean VSSC-A,V1 Mean VSSC-A,V2 Mean VSSC-A,noise Mean VSSC-A,All Events  Mean SSC-A,Time Mean SSC-A,singlets Mean SSC-A,VLP Mean SSC-A,VLP1 Mean SSC-A,VLP2 Mean SSC-A,V1 Mean SSC-A,V2 Mean SSC-A,noise Mean SSC-A,All Events  Mean FSC-A,Time Mean FSC-A,singlets Mean FSC-A,VLP Mean FSC-A,VLP1 Mean FSC-A,VLP2 Mean FSC-A,V1 Mean FSC-A,V2 Mean FSC-A,noise Mean FSC-A
Unstain TE 1-1,2020-08-12 14:40:01,60.0,0.00,Stain samples are 10X diluted with TE buffer (pH8.0),4724,633,506,18,3,0,8,0,13,78.73,10.85,8.43,0.30,0.05,0.00,0.13,0.00,0.22,100.00%,13.40%,79.94%,3.56%,16.67%,0.00%,44.44%,0.00%,72.22%,100.00%,13.40%,10.71%,0.38%,0.06%,0.00%,0.17%,0.00%,0.28%,9496.8,36188.2,36351.8,41720.5,9807.0,####,5671.2,####,2646.5,174774.8,902099.2,405149.2,994.7,1307.3,####,757.5,####,699.9,10125.1,52504.6,19488.0,3.5,65.4,####,76.6,####,25.7,9601.6,44525.3,23726.9,2188.5,1800.2,####,3171.0,####,2040.5
Stain 30KD filtrate 1-1,2020-08-12 15:09:32,60.0,4.24,Stain samples are 10X diluted with TE buffer (pH8.0),560496,311600,152146,25425,14429,254,21867,248,9716,9341.57,5341.69,2535.76,423.75,240.48,4.23,364.45,4.13,161.93,100.00%,55.59%,48.83%,16.71%,56.75%,1.00%,86.01%,0.98%,38.21%,100.00%,55.59%,27.14%,4.54%,2.57%,0.05%,3.90%,0.04%,1.73%,6221.4,8483.7,11675.6,6044.4,6955.3,31955.7,5833.0,30031.5,3053.8,34137.7,41706.4,78038.4,1481.2,1502.4,1702.7,1465.1,1697.8,1439.6,1238.5,1553.8,2918.3,-41.3,-46.1,-27.7,-44.0,-33.1,-31.0,726.2,1071.4,1266.1,3228.2,3661.3,4784.5,3355.2,4721.8,2576.7
Stain ddH2O 1-1,2020-08-12 15:13:49,60.0,0.14,Stain samples are 10X diluted with TE buffer (pH8.0),136987,16150,13709,810,182,10,493,10,587,2283.12,276.86,228.48,13.50,3.03,0.17,8.22,0.17,9.78,100.00%,11.79%,84.89%,5.91%,22.47%,1.23%,60.86%,1.23%,72.47%,100.00%,11.79%,10.01%,0.59%,0.13%,0.01%,0.36%,0.01%,0.43%,4988.3,25644.4,25978.5,4931.1,6731.3,31219.4,4604.5,31219.4,2650.9,28750.4,195680.5,156427.8,1583.7,1646.1,1511.7,1727.6,1511.7,1571.4,1635.2,10554.2,8351.8,89.5,110.4,170.3,104.4,170.3,82.4,1050.5,7188.5,6211.4,2519.2,3248.8,3847.1,2827.6,3847.1,2270.4
Stain TE 1-1,2020-08-12 15:16:28,60.0,0.15,Stain samples are 10X diluted with TE buffer (pH8.0),141131,17974,15597,883,196,13,541,12,630,2352.22,308.13,259.95,14.72,3.27,0.22,9.02,0.20,10.50,100.00%,12.74%,86.78%,5.66%,22.20%,1.47%,61.27%,1.36%,71.35%,100.00%,12.74%,11.05%,0.63%,0.14%,0.01%,0.38%,0.01%,0.45%,6740.6,29763.3,28951.5,6794.0,6764.9,40465.1,4595.7,35361.2,2649.3,42306.8,244821.2,165898.0,1517.9,1484.5,917.6,1630.7,898.6,1543.3,2541.8,12973.7,8830.4,64.2,58.8,60.5,76.2,50.0,66.0,1706.4,9378.5,7298.3,2692.1,3393.8,4710.6,2938.0,4502.6,2461.4
Stain Virus 1-1,2020-08-12 15:19:19,60.0,2.05,Stain samples are 10X diluted with TE buffer (pH8.0),347631,73105,58649,12315,3832,855,6382,855,7058,5793.85,1253.23,977.48,205.25,63.87,14.25,106.37,14.25,117.63,100.00%,21.03%,80.23%,21.00%,31.12%,6.94%,51.82%,6.94%,57.31%,100.00%,21.03%,16.87%,3.54%,1.10%,0.25%,1.84%,0.25%,2.03%,4731.0,12313.7,12636.6,6473.1,9058.2,30701.1,6806.8,30701.1,2382.9,14626.5,48284.2,47245.4,1329.0,1038.1,1372.5,1246.9,1372.5,1495.9,694.9,2423.1,2344.9,38.7,23.6,17.7,40.0,17.7,54.9,320.8,1123.2,1033.4,2625.1,3041.6,3318.8,2839.5,3318.8,2351.0
Stain Virus 2-1 deleate,2020-08-12 15:21:38,60.0,1.06,Stain samples are 10X diluted with TE buffer (pH8.0),893692,38101,30826,6336,2226,586,3448,586,3215,14894.76,653.16,513.76,105.60,37.10,9.77,57.47,9.77,53.58,100.00%,4.26%,80.91%,20.55%,35.13%,9.25%,54.42%,9.25%,50.74%,100.00%,4.26%,3.45%,0.71%,0.25%,0.07%,0.39%,0.07%,0.36%,984.8,11249.7,11481.0,7295.1,8788.1,31219.6,6891.4,31219.6,2411.4,2816.5,50259.4,47313.4,1381.4,1116.6,1452.1,1279.1,1452.1,1568.5,148.6,2579.2,2389.6,33.5,20.6,24.7,29.3,24.7,45.3,55.1,1197.0,986.5,2746.0,3012.0,3352.1,2887.4,3352.1,2500.8
Stain Virus 2-1,2020-08-12 15:23:28,60.0,1.55,Stain samples are 10X diluted with TE buffer (pH8.0),283475,59055,48065,9324,3879,987,6036,987,4191,4724.57,1012.37,801.08,155.40,64.65,16.45,100.60,16.45,69.85,100.00%,20.83%,81.39%,19.40%,41.60%,10.59%,64.74%,10.59%,44.95%,100.00%,20.83%,16.96%,3.29%,1.37%,0.35%,2.13%,0.35%,1.48%,4255.7,13391.0,13229.5,8232.7,8880.8,30687.6,6952.9,30704.4,2607.8,20845.3,83884.8,62546.0,1363.8,1114.7,1396.6,1268.6,1394.1,1588.5,1138.9,4441.4,3125.1,29.3,14.9,16.7,24.3,14.0,49.5,590.4,2299.9,1498.5,2662.7,2865.8,3210.1,2749.2,3211.1,2353.9
Stain Virus 3-1,2020-08-12 15:26:52,60.0,2.83,Stain samples are 10X diluted with TE buffer (pH8.0),336121,86627,71432,16966,5213,1186,9428,1186,9940,5602.02,1485.03,1190.53,282.77,86.88,19.77,157.13,19.77,165.67,100.00%,25.77%,82.46%,23.75%,30.73%,6.99%,55.57%,6.99%,58.59%,100.00%,25.77%,21.25%,5.05%,1.55%,0.35%,2.80%,0.35%,2.96%,4211.8,10454.5,10558.3,6448.0,8735.9,31448.6,6343.4,31448.6,2489.7,14339.7,42757.1,36031.3,1451.5,1200.2,1514.8,1399.3,1514.8,1583.5,797.1,2196.6,1802.2,37.0,20.9,39.3,37.6,39.3,49.6,389.9,1123.0,820.9,2426.9,2697.2,3004.9,2545.0,3004.9,2237.4
Stain Virus 4-1,2020-08-12 15:30:45,60.0,3.09,Stain samples are 10X diluted with TE buffer (pH8.0),338078,91057,83790,18519,4944,813,10012,814,12014,5634.62,1560.97,1396.50,308.65,82.40,13.55,166.87,13.57,200.23,100.00%,26.93%,92.02%,22.10%,26.70%,4.39%,54.06%,4.40%,64.87%,100.00%,26.93%,24.78%,5.48%,1.46%,0.24%,2.96%,0.24%,3.55%,3547.2,8474.6,8322.0,4847.2,7529.1,25480.2,5433.2,25473.6,2498.6,15389.0,44445.0,33468.4,1653.1,1473.0,2146.6,1609.0,2145.5,1705.9,805.3,2256.3,1688.1,39.2,32.1,61.5,42.5,60.3,44.6,388.1,1126.7,727.4,2366.9,2627.6,2924.5,2490.1,2924.4,2235.4
Stain Virus 5-1,2020-08-12 15:32:44,60.0,3.49,Stain samples are 10X diluted with TE buffer (pH8.0),361819,101037,90962,20913,5059,1078,10931,1077,13954,6030.30,1732.06,1516.03,348.55,84.32,17.97,182.18,17.95,232.57,100.00%,27.92%,90.03%,22.99%,24.19%,5.15%,52.27%,5.15%,66.72%,100.00%,27.92%,25.14%,5.78%,1.40%,0.30%,3.02%,0.30%,3.86%,3648.9,8468.6,8486.0,5155.7,7998.5,28558.6,5490.3,28568.6,2483.5,12336.3,34046.6,29320.6,1621.6,1414.5,1885.2,1602.1,1886.5,1687.3,661.0,1744.7,1465.3,38.8,25.4,26.9,43.4,27.1,48.3,299.2,775.3,567.6,2387.9,2684.7,3044.2,2518.2,3043.8,2250.6
