Experiment Name:,Exp_20200528_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tube Name:,Record Time:,Volume(£gL):,All Events  Events/£gL(V),HB Events/£gL(V),Time Events/£gL(V),Cells Events/£gL(V),P2 Events/£gL(V),P3 Events/£gL(V),P1 Events/£gL(V),Bac Events/£gL(V),All Events ,HB Events,Time Events,Cells Events,P2 Events,P3 Events,P1 Events,Bac Events,All Events  % Parent,HB % Parent,Time % Parent,Cells % Parent,P2 % Parent,P3 % Parent,P1 % Parent,Bac % Parent,All Events  % Total,HB % Total,Time % Total,Cells % Total,P2 % Total,P3 % Total,P1 % Total,Bac % Total,All Events  Mean FSC-H,HB Mean FSC-H,Time Mean FSC-H,Cells Mean FSC-H,P2 Mean FSC-H,P3 Mean FSC-H,P1 Mean FSC-H,Bac Mean FSC-H,All Events  Mean BL525-H,HB Mean BL525-H,Time Mean BL525-H,Cells Mean BL525-H,P2 Mean BL525-H,P3 Mean BL525-H,P1 Mean BL525-H,Bac Mean BL525-H,All Events  Mean BL690-H,HB Mean BL690-H,Time Mean BL690-H,Cells Mean BL690-H,P2 Mean BL690-H,P3 Mean BL690-H,P1 Mean BL690-H,Bac Mean BL690-H,All Events  rSD BL525-H,HB rSD BL525-H,Time rSD BL525-H,Cells rSD BL525-H,P2 rSD BL525-H,P3 rSD BL525-H,P1 rSD BL525-H,Bac rSD BL525-H
A1 S_T1_R1_1(1),2020-05-28 14:39,30,203.8,69.08,199.25,170,203.8,9.2,0.27,84.65,6113,2072,5776,5099,6113,276,8,2539,100.00%,81.61%,94.49%,88.28%,100.00%,10.87%,0.32%,49.79%,100.00%,33.89%,94.49%,83.41%,100.00%,4.51%,0.13%,41.53%,5087.1,5238.3,3753.5,4138,5087.1,4701.1,4587.4,5151.2,135432.2,176489.1,122424.4,133136.3,135432.2,22454.2,143138.8,149324.3,5135,4988.5,3970.9,4314.8,5135,2051.6,49089.2,4682.2,34489,64912.4,33443.7,37440,34489,6656.1,52517.2,48515.7
A2 S_T1_R2_1(1),2020-05-28 14:47,30,167.03,72.13,162.27,150.69,166.9,10.04,0.1,88.93,5009,2163,4704,4519,5005,301,3,2667,100.00%,81.10%,93.91%,96.07%,99.92%,11.29%,0.11%,59.02%,100.00%,43.18%,93.91%,90.22%,99.92%,6.01%,0.06%,53.24%,5833.9,3516.4,3397.4,3461.9,5615.9,3160.1,2926.7,3442.9,194783.1,245584.9,181077.5,187801,192670.6,22866.4,186550,204063.4,6736.9,6456,5208.2,5396.9,6632.6,2234.1,65429.6,5696.8,45134.8,189307.6,44150.2,48631.4,45134.8,7781.3,81083.8,85224.1
A3 S_T2_R1_1(1),2020-05-28 14:49,30,266.88,124.67,263.3,246.38,266.68,10.87,1.23,143.48,8006,3740,7633,7391,8000,326,37,4304,100.00%,86.90%,95.34%,96.83%,99.93%,7.57%,0.86%,58.23%,100.00%,46.71%,95.34%,92.32%,99.93%,4.07%,0.46%,53.76%,3723.6,2935.4,2804.4,2840.8,3570.3,2988.7,3915.8,2959.8,160015.6,210278.1,154469.4,158838.2,158601.3,26003.4,176993.9,188474.1,6021,5563.8,4987.2,5127.4,5859.4,2492.6,62767.8,5736.9,77656.7,167277.2,77796.5,81870.5,77554.7,7822.7,35161,120976.5
A4 S_T2_R2_1(1),2020-05-28 14:50,30,333.62,157.01,328.26,308.75,333.46,11.3,1.37,177.58,10008,4710,9516,9262,10003,339,41,5327,100.00%,88.42%,95.08%,97.33%,99.95%,6.36%,0.77%,57.51%,100.00%,47.06%,95.08%,92.55%,99.95%,3.39%,0.41%,53.23%,3963.3,3069.9,3028.1,3064.3,3737.5,3373.8,3785.9,3100.8,150299.9,192519.5,141649.7,144760.4,147913.7,26694.4,173627.5,175253.9,5869.2,5075.1,4491.2,4590.2,5386.8,2495.6,56415,5286.3,69857.9,134396.8,68702.4,71604,69802.7,7437.5,39778.5,106392.9
A5 S_T3_R1_1(1),2020-05-28 14:51,30,361.14,161.6,358.82,336.47,360.74,8.73,2.43,181.4,10834,4848,10402,10094,10822,262,73,5442,100.00%,89.08%,96.01%,97.04%,99.89%,4.81%,1.34%,53.91%,100.00%,44.75%,96.01%,93.17%,99.89%,2.42%,0.67%,50.23%,3476.9,2733.5,2625.1,2651.9,3303.1,2909.7,3978.8,2773.1,135104.8,165914.3,123086.9,126147.4,131031.9,29733.8,187532.8,154145.6,5126.7,4490.7,4335.7,4443.6,4899.6,2808.4,62737.2,5249.1,60660.8,93076.1,59687.6,61565,60470.4,8653.1,34254.4,89357.9
A6 S_T3_R2_1(1),2020-05-28 14:53,30,344.98,154.27,340.37,318.68,344.62,9.8,1.6,173.67,10349,4628,9867,9560,10338,294,48,5210,100.00%,88.83%,95.34%,96.89%,99.89%,5.64%,0.92%,54.50%,100.00%,44.72%,95.34%,92.38%,99.89%,2.84%,0.46%,50.34%,3894.3,2842.3,2742.2,2776.4,3626.8,3083.1,4479,2878.5,143283.4,182718.5,137445.7,140977,141089.7,27764.2,196970.1,167993,5566.9,4881.2,4608.2,4728.1,5112.9,2752.7,66353.2,5317.4,68325.5,110039.8,67627.5,70135.6,68200.1,11126.8,40049.8,101672.9
A7 S_T4_R1_1(1),2020-05-28 14:54,30,495.77,214.5,490.77,459.04,495.27,10.2,2.73,236.27,14873,6435,14227,13771,14858,306,82,7088,100.00%,90.79%,95.66%,96.79%,99.90%,4.32%,1.16%,51.47%,100.00%,43.27%,95.66%,92.59%,99.90%,2.06%,0.55%,47.66%,3413.1,2752.9,2686.5,2716,3234.6,3122.6,3996.3,2792.9,123409.7,147946.2,114513.9,117407.1,119820,31146.7,178069.5,140013.7,5395.6,3961,4209,4320.2,4958.2,3159.7,60938.8,4669.3,58667.1,82777.7,58114.4,59165.7,58606.9,9540.3,37382,80905.7
A8 S_T4_R2_1(1),2020-05-28 14:56,30,493.45,213.44,488.73,458.54,493.21,10.03,3.07,237.61,14803,6403,14168,13756,14796,301,92,7128,100.00%,89.83%,95.71%,97.09%,99.95%,4.22%,1.29%,51.82%,100.00%,43.25%,95.71%,92.93%,99.95%,2.03%,0.62%,48.15%,2903,2642.2,2517.3,2543.9,2882.2,3128.2,4138.6,2702.1,106417.9,132121.4,102233.1,104414.9,104695.3,34890.5,177575.8,125509.5,4298.9,3674.8,3789.2,3874.7,4211.6,3249.2,59029.1,4453.9,47845.3,64854.7,47680.6,48564.4,47821.7,11812.8,44738.3,64546.2
A9 blank(1),2020-05-28 14:46,30,201.13,79.97,198.76,186.6,200.87,4.9,1.5,91.67,6034,2399,5762,5598,6026,147,45,2750,100.00%,87.24%,95.49%,97.15%,99.87%,5.35%,1.64%,49.12%,100.00%,39.76%,95.49%,92.77%,99.87%,2.44%,0.75%,45.58%,2742.3,2592.7,2461.5,2481.3,2694.4,2701.9,4336.7,2642.3,132615.1,171540.9,125510.4,128570.7,128432.5,28622,237449.6,160146.6,5411.4,4739.9,4799.8,4918.8,5162.2,3260.3,72076.1,5932.9,63940.6,95824.6,63959.4,63294.4,63903,10994.7,46653.1,95318.5
A10 S_T5_R1_1(1),2020-05-28 14:57,30,633.4,272.33,633.37,594.43,633.03,14.43,3.37,302.13,19002,8170,18361,17833,18991,433,101,9064,100.00%,90.14%,96.63%,97.12%,99.94%,4.78%,1.11%,50.83%,100.00%,43.00%,96.63%,93.85%,99.94%,2.28%,0.53%,47.70%,3035.8,2715.2,2622.2,2656.7,2947.5,3240.8,3814.1,2772,109321.6,124703.3,103036.4,105108.1,107455.9,34834.1,174262.8,118392.8,4478.7,3438.1,3758.4,3839.9,4111,3305,61695.6,4213.3,47724.7,61341.8,47225.8,48067.5,47701.5,14500.4,41243.3,60358.2
