Experiment Name:,NOR3 CR0015 HNF St 2-5

Tube Name:,Record Time:,Volume(μL):,Comment:,All Events ,Nano Events,SYBR Events,SYBR' Events,Algae Events,ANF Events,HNF Events,All Events  Events/μL(V),Nano Events/μL(V),SYBR Events/μL(V),SYBR' Events/μL(V),Algae Events/μL(V),ANF Events/μL(V),HNF Events/μL(V),All Events  % Parent,Nano % Parent,SYBR % Parent,SYBR' % Parent,Algae % Parent,ANF % Parent,HNF % Parent,All Events  % Total,Nano % Total,SYBR % Total,SYBR' % Total,Algae % Total,ANF % Total,HNF % Total,All Events  Mean FSC-A,Nano Mean FSC-A,SYBR Mean FSC-A,SYBR' Mean FSC-A,Algae Mean FSC-A,ANF Mean FSC-A,HNF Mean FSC-A,All Events  Mean BL525-A,Nano Mean BL525-A,SYBR Mean BL525-A,SYBR' Mean BL525-A,Algae Mean BL525-A,ANF Mean BL525-A,HNF Mean BL525-A,All Events  Mean BL690-A,Nano Mean BL690-A,SYBR Mean BL690-A,SYBR' Mean BL690-A,Algae Mean BL690-A,ANF Mean BL690-A,HNF Mean BL690-A
ST2-5 T0 6,2020-10-29 09:51:49,1005.0,NOR3_Cr0015,5656,1104,4294,2081,992,49,42,5.63,1.10,4.27,2.07,0.99,0.05,0.04,100.00%,53.05%,75.92%,48.46%,89.86%,4.44%,3.80%,100.00%,19.52%,75.92%,36.79%,17.54%,0.87%,0.74%,178770.8,83358.7,56203.8,55227.0,82995.3,82308.5,66702.0,596636.9,1365614.6,538964.4,942885.8,1310162.0,1453916.3,2158341.5,618222.4,1804267.5,688295.9,1198272.4,1890048.0,558796.6,395437.2
ST2-5 T0 7,2020-10-29 09:58:18,1004.9,NOR3_Cr0015,15144,3439,13583,5883,3207,104,76,15.07,3.42,13.52,5.85,3.19,0.10,0.08,100.00%,58.46%,89.69%,43.31%,93.25%,3.02%,2.21%,100.00%,22.71%,89.69%,38.85%,21.18%,0.69%,0.50%,76775.0,95042.8,53739.7,64023.4,94021.8,95568.1,83150.1,646412.1,1412864.3,562263.4,1008845.7,1361891.5,1537065.9,2961272.8,653199.6,1540515.6,604420.0,1095951.5,1536331.0,664597.7,529433.8
ST2-5 T0 8,2020-10-29 10:05:05,1005.0,NOR3_Cr0015,11605,3361,9319,5497,3075,122,93,11.55,3.34,9.27,5.47,3.06,0.12,0.09,100.00%,61.14%,80.30%,58.99%,91.49%,3.63%,2.77%,100.00%,28.96%,80.30%,47.37%,26.50%,1.05%,0.80%,170807.6,101254.4,66488.2,70182.5,97054.9,104604.3,74850.8,844379.7,1555742.3,742832.6,1133896.8,1464403.5,1640062.8,2834382.3,999714.4,2029779.5,992105.7,1445907.4,2009179.9,649846.7,516409.8
ST2-5 T0 9,2020-10-29 10:16:01,1005.0,NOR3_Cr0015,17061,4675,14491,7559,4103,277,185,16.98,4.65,14.42,7.52,4.08,0.28,0.18,100.00%,61.85%,84.94%,52.16%,87.76%,5.93%,3.96%,100.00%,27.40%,84.94%,44.31%,24.05%,1.62%,1.08%,88986.2,95738.0,61698.8,67865.7,92980.3,101734.5,81769.9,759649.3,1302472.1,600167.2,978230.8,1207719.9,1426230.0,2788492.0,726852.9,1461943.1,697167.9,1077822.6,1493508.6,558505.6,487376.9
ST2-5 T0 10,2020-10-29 10:21:42,1005.0,NOR3_Cr0015,16969,4146,14412,8636,3607,273,142,16.88,4.13,14.34,8.59,3.59,0.27,0.14,100.00%,48.01%,84.93%,59.92%,87.00%,6.58%,3.42%,100.00%,24.43%,84.93%,50.89%,21.26%,1.61%,0.84%,66595.8,102116.8,59193.1,59851.6,98197.0,94851.8,76367.5,691311.4,1362001.3,584474.2,861888.2,1244937.5,1463765.5,2725772.5,848249.4,1832572.5,805914.9,1129752.9,1816368.3,583032.2,486514.9
ST2-5 T0 11,2020-10-29 10:28:09,1005.0,NOR3_Cr0015,16591,4632,13971,7988,4162,232,144,16.51,4.61,13.90,7.95,4.14,0.23,0.14,100.00%,57.99%,84.21%,57.18%,89.85%,5.01%,3.11%,100.00%,27.92%,84.21%,48.15%,25.09%,1.40%,0.87%,93649.4,94418.1,58649.8,63527.8,91207.8,98122.8,68097.6,672200.2,1221355.6,581774.9,887473.5,1123630.9,1460467.8,2489741.3,759528.3,1529252.3,744464.2,1075865.4,1499385.8,591867.6,445145.4
ST2-5 T12 6-1,2020-10-29 10:33:49,1004.9,NOR3_Cr0015,7034,1980,5986,3779,1844,47,46,7.00,1.97,5.96,3.76,1.83,0.05,0.05,100.00%,52.39%,85.10%,63.13%,93.13%,2.37%,2.32%,100.00%,28.15%,85.10%,53.72%,26.22%,0.67%,0.65%,70553.7,90838.7,52408.9,55936.8,87957.1,86765.6,64342.9,733718.2,1505491.9,691398.5,1001833.5,1454156.6,1779752.5,1875280.0,811810.3,1905195.1,837843.7,1211496.3,1850271.3,772659.4,335020.5
ST2-5 T12 6-2,2020-10-29 10:39:28,1005.0,NOR3_Cr0015,5042,860,3659,1612,732,56,35,5.02,0.86,3.64,1.60,0.73,0.06,0.03,100.00%,53.35%,72.57%,44.06%,85.12%,6.51%,4.07%,100.00%,17.06%,72.57%,31.97%,14.52%,1.11%,0.69%,301201.7,107489.4,56387.6,66665.2,101528.8,76988.7,87114.2,513358.0,1292240.1,492385.6,880761.0,1160198.3,1174463.0,2186500.5,594241.4,2108321.0,688770.8,1307102.6,1972365.9,437814.1,384399.6
ST2-5 T12 7-1,2020-10-29 10:45:14,1005.0,NOR3_Cr0015,8248,2434,7231,4616,1636,417,261,8.21,2.42,7.20,4.59,1.63,0.41,0.26,100.00%,52.73%,87.67%,63.84%,67.21%,17.13%,10.72%,100.00%,29.51%,87.67%,55.97%,19.84%,5.06%,3.16%,88350.4,89314.9,52181.7,55566.3,90486.2,79280.7,74241.8,841491.1,1525668.9,738608.4,1055328.3,1555980.8,1354347.0,1424053.4,694456.9,1351761.6,611919.3,864975.1,1636638.6,512410.6,257482.0
ST2-5 T12 7-2,2020-10-29 10:51:00,1005.0,NOR3_Cr0015,14712,2921,12551,6918,1867,475,326,14.64,2.91,12.49,6.88,1.86,0.47,0.32,100.00%,42.22%,85.31%,55.12%,63.92%,16.26%,11.16%,100.00%,19.85%,85.31%,47.02%,12.69%,3.23%,2.22%,85173.4,78642.3,43857.2,44120.4,74716.6,77059.7,83225.4,535059.2,1191999.1,532317.1,815073.3,1196335.4,1083274.9,1145640.4,424626.3,1085948.1,431401.7,667355.6,1277054.5,437178.1,197319.1
