Experiment Name:,NOR3 CR0015 HNF St 6-1'

Tube Name:,Record Time:,Volume(μL):,Comment:,All Events ,Nano Events,SYBR Events,SYBR' Events,Algae Events,ANF Events,HNF Events,All Events  Events/μL(V),Nano Events/μL(V),SYBR Events/μL(V),SYBR' Events/μL(V),Algae Events/μL(V),ANF Events/μL(V),HNF Events/μL(V),All Events  % Total,Nano % Total,SYBR % Total,SYBR' % Total,Algae % Total,ANF % Total,HNF % Total,All Events  Mean FSC-A,Nano Mean FSC-A,SYBR Mean FSC-A,SYBR' Mean FSC-A,Algae Mean FSC-A,ANF Mean FSC-A,HNF Mean FSC-A,All Events  Mean SSC-A,Nano Mean SSC-A,SYBR Mean SSC-A,SYBR' Mean SSC-A,Algae Mean SSC-A,ANF Mean SSC-A,HNF Mean SSC-A,All Events  Mean BL525-A,Nano Mean BL525-A,SYBR Mean BL525-A,SYBR' Mean BL525-A,Algae Mean BL525-A,ANF Mean BL525-A,HNF Mean BL525-A,All Events  Mean BL690-A,Nano Mean BL690-A,SYBR Mean BL690-A,SYBR' Mean BL690-A,Algae Mean BL690-A,ANF Mean BL690-A,HNF Mean BL690-A
1.8um,2020-08-04 17:11:16,13.5,NOR3 Cr0015 HNF,198,9,39,23,2,0,1,14.64,0.67,2.88,1.70,0.15,0.00,0.07,100.00%,4.55%,19.70%,11.62%,1.01%,0.00%,0.51%,50491.1,36322.0,41035.9,27926.4,37395.4,####,82426.7,124255.2,41147.6,47977.3,50310.1,18451.8,####,33585.0,7688437.0,4736016.0,3490272.0,5838757.0,324021.7,####,1381839.6,235696.5,240435.3,171061.5,209297.7,360159.9,####,301399.2
ST6-1 T0 6-1,2020-08-06 16:37:10,1005.0,NOR3 Cr0015 HNF,2713,717,2221,812,608,57,35,2.70,0.71,2.21,0.81,0.60,0.06,0.03,100.00%,26.43%,81.87%,29.93%,22.41%,2.10%,1.29%,334856.5,80049.6,96267.3,74440.8,78571.8,85192.7,82853.8,2500339.0,29672.3,268072.1,27928.0,30912.5,23042.6,18411.8,473732.0,888367.6,407275.6,834727.8,722446.9,1799483.0,1982710.1,657727.8,1224616.9,735974.9,1174077.9,1297392.1,746840.8,352694.6
ST6-1 T0 7-1,2020-08-06 16:43:42,1005.0,NOR3 Cr0015 HNF,3247,1428,2950,1589,1240,105,57,3.23,1.42,2.94,1.58,1.23,0.10,0.06,100.00%,43.98%,90.85%,48.94%,38.19%,3.23%,1.76%,181411.7,71893.9,80012.8,68483.4,67574.1,100957.1,92845.0,978205.8,33213.3,111034.0,32582.7,34083.1,23948.1,20549.7,739209.1,897308.3,541093.4,864415.1,790868.7,1201376.6,2108381.8,763315.7,1027726.9,712851.0,996437.6,1084558.0,490185.1,368391.1
ST6-1 T0 8-1,2020-08-06 16:49:22,1005.0,NOR3 Cr0015 HNF,3238,959,2760,1064,757,122,50,3.22,0.95,2.75,1.06,0.75,0.12,0.05,100.00%,29.62%,85.24%,32.86%,23.38%,3.77%,1.54%,242066.1,90682.1,90476.4,89375.9,87965.4,94047.1,83355.6,1522451.3,36313.8,103549.6,36990.2,38781.9,26892.2,16238.8,672427.8,962139.7,458749.2,924134.3,808324.4,1212194.8,2361472.5,771517.5,1204295.8,711692.8,1161213.9,1307092.3,489207.4,429206.7
ST6-1 T0 9-1,2020-08-06 16:56:06,1005.0,NOR3 Cr0015 HNF,5543,2849,5035,3085,2476,199,60,5.52,2.83,5.01,3.07,2.46,0.20,0.06,100.00%,51.40%,90.84%,55.66%,44.67%,3.59%,1.08%,181153.3,87869.3,87970.3,85082.5,85634.1,95361.2,92858.1,882164.3,47019.6,99693.0,46503.9,47472.9,38733.2,23077.8,858371.6,1116402.8,724870.6,1077067.1,1053818.6,1278040.0,2364190.3,818898.5,1077923.9,777128.4,1042978.8,1104657.8,573415.9,428287.2
ST6-1 T0 10-1,2020-08-06 17:01:46,1005.0,NOR3 Cr0015 HNF,3833,1547,3572,1689,1226,188,81,3.81,1.54,3.55,1.68,1.22,0.19,0.08,100.00%,40.36%,93.19%,44.06%,31.99%,4.90%,2.11%,138433.0,91178.4,86891.9,88964.0,88628.7,96502.4,93530.6,465107.2,43840.2,75188.7,42582.5,46980.4,31161.6,19768.3,824631.7,1048545.6,558106.8,1008432.4,929196.9,1060303.3,2543681.0,751478.4,1064730.4,636010.8,1025712.8,1132850.1,421004.7,443066.8
ST6-1 T0 11-1,2020-08-06 17:08:06,1005.0,NOR3 Cr0015 HNF,4679,1935,4340,2145,1585,207,88,4.66,1.93,4.32,2.13,1.58,0.21,0.09,100.00%,41.35%,92.75%,45.84%,33.87%,4.42%,1.88%,148244.9,86364.5,85581.7,84827.0,80725.1,113483.5,94994.7,572882.8,37610.2,76532.4,36754.6,39071.4,28584.5,20001.3,774367.5,1025843.1,561063.3,984221.0,901078.7,1300354.5,2466376.8,723977.5,1022049.6,640945.4,985762.9,1089995.0,517382.2,447000.3
ST6-1 T12 6-1-1,2020-08-07 16:11:49,1005.0,NOR3 Cr0015 HNF,6306,1457,5740,2599,1369,43,29,6.27,1.45,5.71,2.59,1.36,0.04,0.03,100.00%,23.10%,91.02%,41.21%,21.71%,0.68%,0.46%,147221.2,75255.1,48000.9,50323.1,74042.2,94874.9,89903.8,901165.6,33452.5,42581.3,24808.9,33771.3,25669.8,20379.0,427053.8,878665.9,358397.7,657618.9,834163.1,1595331.6,1942643.3,522185.3,1056034.1,511438.7,755371.6,1086573.0,591245.8,329360.3
ST6-1 T12 6-2-1,2020-08-07 16:19:13,1004.9,NOR3 Cr0015 HNF,7791,1832,7366,4550,1740,48,21,7.75,1.82,7.33,4.53,1.73,0.05,0.02,100.00%,23.51%,94.54%,58.40%,22.33%,0.62%,0.27%,78440.9,70362.8,42902.3,39414.6,66328.5,98720.4,99804.5,350792.3,30655.1,44547.8,21657.8,29478.3,33721.9,31121.0,441037.5,877666.9,423234.8,625921.6,831568.4,1322924.9,2476877.3,543953.9,1021304.2,539572.4,687598.9,989459.8,509149.4,428668.3
ST6-1 T12 7-1-1,2020-08-07 16:24:54,1005.0,NOR3 Cr0015 HNF,12479,2199,12121,6861,1951,117,84,12.42,2.19,12.06,6.83,1.94,0.12,0.08,100.00%,17.62%,97.13%,54.98%,15.63%,0.94%,0.67%,55061.4,68493.4,36954.1,34192.2,65902.1,81783.2,73972.9,187347.2,32692.1,30449.0,21064.5,32852.3,26220.2,16322.4,356397.4,739048.5,312530.3,478458.7,677721.3,1061435.1,1487663.4,360776.5,800792.3,345448.4,492029.8,821223.2,397162.9,262333.0
ST6-1 T12 7-2-1,2020-08-07 16:30:53,1004.9,NOR3 Cr0015 HNF,7710,1824,7341,3713,1590,117,79,7.67,1.82,7.31,3.69,1.58,0.12,0.08,100.00%,23.66%,95.21%,48.16%,20.62%,1.52%,1.02%,90534.7,79135.7,48283.3,50588.3,77221.3,78083.6,71770.6,361295.5,41123.4,39974.5,29935.5,40873.8,35033.6,15974.0,514482.5,1024304.2,417240.7,721238.0,999238.9,894987.3,1430822.9,559485.9,1115263.9,478637.8,758987.2,1172867.9,321609.4,246095.8
