Experiment Name:,NOR3 CR0015 HNF St 6-5'

Tube Name:,Record Time:,Volume(μL):,Comment:,All Events ,Nano Events,SYBR Events,SYBR' Events,Algae Events,ANF Events,HNF Events,All Events  Events/μL(V),Nano Events/μL(V),SYBR Events/μL(V),SYBR' Events/μL(V),Algae Events/μL(V),ANF Events/μL(V),HNF Events/μL(V),All Events  % Parent,Nano % Parent,SYBR % Parent,SYBR' % Parent,Algae % Parent,ANF % Parent,HNF % Parent,All Events  % Total,Nano % Total,SYBR % Total,SYBR' % Total,Algae % Total,ANF % Total,HNF % Total,All Events  Mean FSC-A,Nano Mean FSC-A,SYBR Mean FSC-A,SYBR' Mean FSC-A,Algae Mean FSC-A,ANF Mean FSC-A,HNF Mean FSC-A,All Events  Mean BL525-A,Nano Mean BL525-A,SYBR Mean BL525-A,SYBR' Mean BL525-A,Algae Mean BL525-A,ANF Mean BL525-A,HNF Mean BL525-A,All Events  Mean BL690-A,Nano Mean BL690-A,SYBR Mean BL690-A,SYBR' Mean BL690-A,Algae Mean BL690-A,ANF Mean BL690-A,HNF Mean BL690-A
1.8um,2020-08-04 17:11:16,13.5,NOR3 Cr0015 HNF,198,9,39,23,2,0,1,14.64,0.67,2.88,1.70,0.15,0.00,0.07,100.00%,39.13%,19.70%,58.97%,22.22%,0.00%,11.11%,100.00%,4.55%,19.70%,11.62%,1.01%,0.00%,0.51%,50491.1,36322.0,41035.9,27926.4,37395.4,####,82426.7,7688437.0,4736016.0,3490272.0,5838757.0,324021.7,####,1381839.6,235696.5,240435.3,171061.5,209297.7,360159.9,####,301399.2
ST6-5 T0 6,2020-10-13 10:16:42,1004.9,NOR3 Cr0015 HNF,4399,473,2516,1029,341,81,33,4.38,0.47,2.50,1.02,0.34,0.08,0.03,100.00%,45.97%,57.19%,40.90%,72.09%,17.12%,6.98%,100.00%,10.75%,57.19%,23.39%,7.75%,1.84%,0.75%,220108.0,93056.2,67811.5,57426.5,93061.5,76546.3,81104.5,420178.6,1423633.6,478004.0,952404.9,1288114.4,1418550.9,2324190.3,371704.4,1367415.6,498252.3,848973.5,1520741.1,587648.0,436464.8
ST6-5 T0 7,2020-10-13 10:50:13,1005.0,NOR3 Cr0015 HNF,3206,442,2000,912,268,101,47,3.19,0.44,1.99,0.91,0.27,0.10,0.05,100.00%,48.46%,62.38%,45.60%,60.63%,22.85%,10.63%,100.00%,13.79%,62.38%,28.45%,8.36%,3.15%,1.47%,211652.5,88709.6,57945.7,52571.6,91605.9,68157.2,81840.8,532302.6,1307523.3,511127.7,946525.4,999481.8,1438933.3,2348535.5,402781.8,1252755.5,512383.8,795184.3,1367916.5,584619.7,433292.0
ST6-5 T0 8,2020-10-13 11:23:22,1005.0,NOR3 Cr0015 HNF,4342,568,2534,1097,363,109,62,4.32,0.57,2.52,1.09,0.36,0.11,0.06,100.00%,51.78%,58.36%,43.29%,63.91%,19.19%,10.92%,100.00%,13.08%,58.36%,25.26%,8.36%,2.51%,1.43%,282893.3,85492.5,60472.5,54129.4,85588.6,85727.1,75486.7,468034.9,1387042.5,516502.0,991500.5,1118511.5,1560228.0,2554546.8,376149.5,1239070.6,492613.9,813371.7,1538141.9,621592.5,446775.9
ST6-5 T0 9,2020-10-13 11:46:15,1005.0,NOR3 Cr0015 HNF,5693,508,2848,1041,277,105,90,5.66,0.51,2.83,1.04,0.28,0.10,0.09,100.00%,48.80%,50.03%,36.55%,54.53%,20.67%,17.72%,100.00%,8.92%,50.03%,18.29%,4.87%,1.84%,1.58%,463640.0,99953.8,64724.1,59135.1,98684.9,100442.6,78686.1,414610.5,1490070.1,494994.5,1062188.5,1053041.5,1524216.6,2543961.3,351384.3,1471820.0,521609.2,897495.6,1545930.9,608703.2,438920.9
ST6-5 T0 10,2020-10-13 12:22:11,1004.9,NOR3 Cr0015 HNF,4396,676,3101,1395,464,123,56,4.37,0.67,3.09,1.39,0.46,0.12,0.06,100.00%,48.46%,70.54%,44.99%,68.64%,18.20%,8.28%,100.00%,15.38%,70.54%,31.73%,10.56%,2.80%,1.27%,205074.1,79375.9,55052.0,48234.1,80267.3,82470.8,62243.5,434664.0,1334333.6,494581.2,929983.8,1145942.8,1618463.6,2310674.0,400361.4,1172421.6,474791.2,772598.9,1421456.6,638789.8,403991.9
ST6-5 T0 11,2020-10-13 12:50:36,1005.0,NOR3 Cr0015 HNF,5072,414,2915,807,196,83,78,5.05,0.41,2.90,0.80,0.20,0.08,0.08,100.00%,51.30%,57.47%,27.68%,47.34%,20.05%,18.84%,100.00%,8.16%,57.47%,15.91%,3.86%,1.64%,1.54%,267431.4,80121.4,54566.6,55481.3,73993.2,90877.3,96461.7,211893.5,955523.8,294212.2,715920.1,752214.8,1066424.1,1479252.8,166546.8,649823.0,244301.4,472167.3,955787.3,433227.0,238845.7
ST6-5 T12 6-1,2020-10-13 10:23:01,1005.0,NOR3 Cr0015 HNF,6322,659,3042,1563,563,38,34,6.29,0.66,3.03,1.56,0.56,0.04,0.03,100.00%,42.16%,48.12%,51.38%,85.43%,5.77%,5.16%,100.00%,10.42%,48.12%,24.72%,8.91%,0.60%,0.54%,441977.7,79943.2,66350.4,47935.3,79285.4,88699.7,90643.3,383927.3,1082573.0,479443.5,775220.9,1006771.3,1536287.5,1989080.0,332837.5,1154333.3,519970.2,742732.5,1239805.1,652537.0,378075.6
ST6-5 T12 6-2,2020-10-13 10:31:17,1005.0,NOR3 Cr0015 HNF,4793,704,3230,1489,537,60,42,4.77,0.70,3.21,1.48,0.53,0.06,0.04,100.00%,47.28%,67.39%,46.10%,76.28%,8.52%,5.97%,100.00%,14.69%,67.39%,31.07%,11.20%,1.25%,0.88%,259975.0,87107.7,60508.7,55051.0,90691.1,78665.2,63556.2,465426.4,1193368.8,477176.3,827269.4,1095372.6,1632763.6,1809847.4,388241.4,1189754.6,467151.9,757403.8,1352156.8,689108.6,330701.9
ST6-5 T12 7-1,2020-10-13 10:56:46,1005.0,NOR3 Cr0015 HNF,4965,861,3568,2133,537,132,132,4.94,0.86,3.55,2.12,0.53,0.13,0.13,100.00%,40.37%,71.86%,59.78%,62.37%,15.33%,15.33%,100.00%,17.34%,71.86%,42.96%,10.82%,2.66%,2.66%,236086.3,77128.0,49930.4,42557.3,77020.3,77008.5,69621.3,562446.6,1333394.6,598653.6,898127.6,1304833.5,1312818.3,1263848.1,409326.7,1110777.6,473571.7,648300.1,1415603.4,517798.4,225381.4
ST6-5 T12 7-2,2020-10-13 11:06:11,1005.0,NOR3 Cr0015 HNF,4751,709,3335,1904,407,163,91,4.73,0.71,3.32,1.89,0.40,0.16,0.09,100.00%,37.24%,70.20%,57.09%,57.40%,22.99%,12.83%,100.00%,14.92%,70.20%,40.08%,8.57%,3.43%,1.92%,304637.2,79469.6,48973.9,41081.5,82024.1,78984.8,64941.3,493109.1,1252408.8,545369.0,832787.1,1068661.4,1402528.8,1572002.8,390142.2,1030576.7,444383.8,573534.0,1355046.4,548669.0,281831.9
ST6-5 T12 8-1,2020-10-13 11:29:12,1005.0,NOR3 Cr0015 HNF,5490,909,3963,2231,358,227,252,5.46,0.90,3.94,2.22,0.36,0.23,0.25,100.00%,40.74%,72.19%,56.30%,39.38%,24.97%,27.72%,100.00%,16.56%,72.19%,40.64%,6.52%,4.13%,4.59%,208704.4,88023.7,53908.9,47069.8,93696.6,89790.0,76243.7,602327.8,1407714.5,586442.1,909121.8,1268068.6,1410769.4,1569892.9,372445.9,888766.8,361714.7,492943.2,1485005.0,545070.8,286055.9
ST6-5 T12 8-2,2020-10-13 11:34:49,1005.0,NOR3 Cr0015 HNF,7317,1506,5497,3637,848,246,338,7.28,1.50,5.47,3.62,0.84,0.24,0.34,100.00%,41.41%,75.13%,66.16%,56.31%,16.33%,22.44%,100.00%,20.58%,75.13%,49.71%,11.59%,3.36%,4.62%,224467.2,71496.2,48737.8,40565.1,72239.8,80093.8,59272.3,647475.8,1429392.3,692332.2,965366.5,1491933.8,1396489.8,1272227.6,428532.5,1020815.1,472841.9,608712.8,1458863.6,548046.9,227989.6
ST6-5 T12 9-1,2020-10-13 11:52:20,1005.0,NOR3 Cr0015 HNF,6828,1236,5218,3595,321,463,362,6.79,1.23,5.19,3.58,0.32,0.46,0.36,100.00%,34.38%,76.42%,68.90%,25.97%,37.46%,29.29%,100.00%,18.10%,76.42%,52.65%,4.70%,6.78%,5.30%,174103.9,71839.2,45796.0,37584.8,78712.1,73690.1,64072.7,589207.6,1274158.4,620592.1,818529.1,1124810.5,1332061.8,1352855.6,317344.9,687637.8,318236.9,363582.8,1434934.1,502390.0,243994.0
ST6-5 T12 9-2,2020-10-13 11:58:02,1005.0,NOR3 Cr0015 HNF,8828,1557,6634,4693,452,475,511,8.78,1.55,6.60,4.67,0.45,0.47,0.51,100.00%,33.18%,75.15%,70.74%,29.03%,30.51%,32.82%,100.00%,17.64%,75.15%,53.16%,5.12%,5.38%,5.79%,249109.8,70007.0,44494.4,34924.0,81568.1,71540.3,56198.4,579802.9,1245104.1,611806.3,794119.6,1176523.6,1315551.4,1217686.4,315473.3,726656.8,314713.9,364344.3,1419220.9,517472.8,216340.6
ST6-5 T12 10-1,2020-10-13 12:27:49,1005.0,NOR3 Cr0015 HNF,7057,1451,5317,3510,471,585,245,7.02,1.44,5.29,3.49,0.47,0.58,0.24,100.00%,41.34%,75.34%,66.01%,32.46%,40.32%,16.88%,100.00%,20.56%,75.34%,49.74%,6.67%,8.29%,3.47%,141003.6,72638.7,50789.6,41150.5,81998.9,73442.3,57830.9,599772.3,1422439.3,674663.4,935889.6,1327412.6,1585100.3,1226013.5,370004.0,844682.4,398119.7,496788.9,1401764.3,634656.5,234295.2
ST6-5 T12 10-2,2020-10-13 12:33:32,1005.0,NOR3 Cr0015 HNF,8001,1804,6550,4740,296,767,615,7.96,1.80,6.52,4.72,0.29,0.76,0.61,100.00%,38.06%,81.86%,72.37%,16.41%,42.52%,34.09%,100.00%,22.55%,81.86%,59.24%,3.70%,9.59%,7.69%,71406.7,66162.5,42166.0,36452.8,90057.2,67713.5,52757.0,656218.5,1378066.4,716797.6,924404.6,1153384.9,1555348.3,1253336.6,285019.8,610836.6,302776.5,349880.0,1359556.1,602200.6,236704.0
ST6-5 T12 11-1,2020-10-13 12:56:15,1004.9,NOR3 Cr0015 HNF,5410,1024,4033,2372,552,214,176,5.38,1.02,4.01,2.36,0.55,0.21,0.18,100.00%,43.17%,74.55%,58.81%,53.91%,20.90%,17.19%,100.00%,18.93%,74.55%,43.84%,10.20%,3.96%,3.25%,174043.5,72842.0,50045.2,41626.9,77045.5,71793.1,63197.5,430231.8,1094739.4,500547.2,737462.3,1087060.6,1065099.5,1182419.3,324649.3,866831.4,393720.9,521912.1,1255660.9,392450.3,223479.6
ST6-5 T12 11-2,2020-10-13 13:01:50,1005.0,NOR3 Cr0015 HNF,4427,686,2963,1523,349,150,124,4.40,0.68,2.95,1.52,0.35,0.15,0.12,100.00%,45.04%,66.93%,51.40%,50.87%,21.87%,18.08%,100.00%,15.50%,66.93%,34.40%,7.88%,3.39%,2.80%,180051.5,73782.4,50983.4,43025.2,77530.0,71233.0,66923.8,374905.9,1105655.3,468686.0,764490.9,991103.1,1057364.4,1428013.9,308746.0,860074.8,366578.5,529860.1,1317622.0,402603.8,259478.2
ST6-5 T24 6-1,2020-10-13 10:37:52,1005.0,NOR3 Cr0015 HNF,2986,411,2011,1018,340,39,12,2.97,0.41,2.00,1.01,0.34,0.04,0.01,100.00%,40.37%,67.35%,50.62%,82.73%,9.49%,2.92%,100.00%,13.76%,67.35%,34.09%,11.39%,1.31%,0.40%,250907.8,74704.9,56138.2,43118.2,75250.3,76346.1,64338.2,487706.9,1289734.6,504912.1,858240.1,1156736.1,2070087.9,2128931.5,472230.9,1362486.3,596362.6,845954.7,1440135.3,780202.0,412667.4
ST6-5 T24 6-2,2020-10-13 10:43:37,1005.0,NOR3 Cr0015 HNF,3440,579,2249,1220,464,44,47,3.42,0.58,2.24,1.21,0.46,0.04,0.05,100.00%,47.46%,65.38%,54.25%,80.14%,7.60%,8.12%,100.00%,16.83%,65.38%,35.47%,13.49%,1.28%,1.37%,248728.8,73621.6,59938.5,45457.6,75042.3,58379.2,67862.5,460184.9,1152986.6,515690.7,817877.7,1106221.4,1256583.3,1430046.3,445737.7,1297717.6,586081.2,828337.3,1462422.1,512173.0,253970.8
ST6-5 T24 7-1,2020-10-13 11:12:03,1005.0,NOR3 Cr0015 HNF,5319,962,3847,2427,506,203,174,5.29,0.96,3.83,2.41,0.50,0.20,0.17,100.00%,39.64%,72.33%,63.09%,52.60%,21.10%,18.09%,100.00%,18.09%,72.33%,45.63%,9.51%,3.82%,3.27%,202308.0,70596.4,48657.7,40290.9,73422.7,76101.6,59747.9,468315.5,1178715.9,570709.6,819249.2,1059973.0,1190246.0,1396097.3,333794.1,911877.1,414150.3,533037.6,1316394.6,480399.2,248986.3
ST6-5 T24 7-2,2020-10-13 11:17:38,1005.0,NOR3 Cr0015 HNF,8389,2080,6719,4993,1632,182,195,8.35,2.07,6.69,4.97,1.62,0.18,0.19,100.00%,41.66%,80.09%,74.31%,78.46%,8.75%,9.38%,100.00%,24.79%,80.09%,59.52%,19.45%,2.17%,2.32%,175382.1,66186.6,42248.4,38574.0,66079.4,79016.4,53762.8,611919.8,1248988.3,605924.6,764693.2,1233444.5,1225231.0,1411409.3,449724.3,962998.1,453425.1,548019.2,1110466.1,484314.6,254737.7
ST6-5 T24 8-1,2020-10-13 11:40:25,1005.0,NOR3 Cr0015 HNF,5431,1123,4314,2766,396,253,390,5.40,1.12,4.29,2.75,0.39,0.25,0.39,100.00%,40.60%,79.43%,64.12%,35.26%,22.53%,34.73%,100.00%,20.68%,79.43%,50.93%,7.29%,4.66%,7.18%,136104.8,67754.7,45838.5,38449.1,74838.0,80634.7,53279.2,552189.4,1273397.3,616331.4,870663.5,1164758.4,1316636.5,1363956.0,354038.1,745135.6,373230.2,463997.6,1413344.4,455033.8,265295.9
ST6-5 T24 8-2,2020-10-13 12:16:15,1005.0,NOR3 Cr0015 HNF,4946,787,3623,2318,218,253,280,4.92,0.78,3.60,2.31,0.22,0.25,0.28,100.00%,33.95%,73.25%,63.98%,27.70%,32.15%,35.58%,100.00%,15.91%,73.25%,46.87%,4.41%,5.12%,5.66%,166469.2,69059.3,42509.3,35270.0,81933.2,73657.2,54077.9,488979.8,1165146.0,547088.0,767427.4,963871.4,1231910.6,1279332.0,248958.6,651499.1,278781.1,325897.8,1493527.5,436151.8,223074.2
ST6-5 T24 9-1,2020-10-13 12:04:06,1005.0,NOR3 Cr0015 HNF,11504,2159,9950,7984,386,1023,577,11.45,2.15,9.90,7.94,0.38,1.02,0.57,100.00%,27.04%,86.49%,80.24%,17.88%,47.38%,26.73%,100.00%,18.77%,86.49%,69.40%,3.36%,8.89%,5.02%,112565.4,59236.9,34549.4,29505.0,81993.2,55971.3,48937.4,533552.9,1147793.1,566516.0,666352.3,1111633.4,1094888.3,1244882.1,240934.0,558380.7,242196.6,259502.4,1374085.4,414266.7,230896.3
ST6-5 T24 9-2,2020-10-13 12:09:42,1005.0,NOR3 Cr0015 HNF,7458,1658,5821,4211,294,645,598,7.42,1.65,5.79,4.19,0.29,0.64,0.60,100.00%,39.37%,78.05%,72.34%,17.73%,38.90%,36.07%,100.00%,22.23%,78.05%,56.46%,3.94%,8.65%,8.02%,159127.7,66055.3,45691.5,37845.0,84307.5,63529.9,55945.9,554195.5,1175023.1,630196.3,801759.1,1016461.5,1135657.3,1271597.4,268303.9,567496.2,297636.7,336434.7,1410160.8,423188.8,238137.1
ST6-5 T24 10-1,2020-10-13 12:39:14,1005.0,NOR3 Cr0015 HNF,6940,1585,5547,3718,268,640,548,6.91,1.58,5.52,3.70,0.27,0.64,0.55,100.00%,42.63%,79.93%,67.03%,16.91%,40.38%,34.57%,100.00%,22.84%,79.93%,53.57%,3.86%,9.22%,7.90%,116739.3,68283.1,48300.1,39796.8,94053.2,65609.6,56400.5,567456.3,1205399.9,616330.6,841429.3,1250583.6,1153968.8,1206841.0,274995.1,583255.1,292386.3,353237.0,1543917.3,438104.4,225370.0
