Experiment Name:,Exp_20200902_HB

Tube Name:,Record Time:,Volume(μL):,Comment:,All Events  Events/μL(V),Micro Events/μL(V),singlets Events/μL(V),2um Events/μL(V),SYBR Events/μL(V),Bac Events/μL(V),B1 Events/μL(V),B2 Events/μL(V),B3 Events/μL(V),B4 Events/μL(V),All Events ,Micro Events,singlets Events,2um Events,SYBR Events,Bac Events,B1 Events,B2 Events,B3 Events,B4 Events,All Events  % Parent,Micro % Parent,singlets % Parent,2um % Parent,SYBR % Parent,Bac % Parent,B1 % Parent,B2 % Parent,B3 % Parent,B4 % Parent,All Events  % Total,Micro % Total,singlets % Total,2um % Total,SYBR % Total,Bac % Total,B1 % Total,B2 % Total,B3 % Total,B4 % Total,All Events  Mean FSC-H,Micro Mean FSC-H,singlets Mean FSC-H,2um Mean FSC-H,SYBR Mean FSC-H,Bac Mean FSC-H,B1 Mean FSC-H,B2 Mean FSC-H,B3 Mean FSC-H,B4 Mean FSC-H,All Events  Mean BL525-H,Micro Mean BL525-H,singlets Mean BL525-H,2um Mean BL525-H,SYBR Mean BL525-H,Bac Mean BL525-H,B1 Mean BL525-H,B2 Mean BL525-H,B3 Mean BL525-H,B4 Mean BL525-H,All Events  Mean BL690-H,Micro Mean BL690-H,singlets Mean BL690-H,2um Mean BL690-H,SYBR Mean BL690-H,Bac Mean BL690-H,B1 Mean BL690-H,B2 Mean BL690-H,B3 Mean BL690-H,B4 Mean BL690-H
ddH2O,2020-09-02 10:41:55,60.0,,2.25,2.12,2.18,0.00,0.58,0.53,0.15,0.32,0.07,0.00,135,127,131,0,35,32,9,19,4,0,100.00%,96.95%,97.04%,0.00%,27.56%,91.43%,28.13%,59.38%,12.50%,0.00%,100.00%,94.07%,97.04%,0.00%,25.93%,23.70%,6.67%,14.07%,2.96%,0.00%,10881.5,5954.8,11116.6,####,2163.2,2084.1,1925.4,2170.1,2032.7,####,63409.5,64790.2,65020.8,####,150863.3,90928.3,42168.4,101293.4,151404.0,####,3159.2,2735.7,3227.7,####,2372.6,2143.9,1152.6,2344.8,3419.7,####
Beads mix,2020-09-02 10:44:22,30.0,,202.67,118.30,120.10,0.17,94.93,4.73,1.53,2.20,1.07,0.00,6080,3549,3603,5,2848,142,46,66,32,0,100.00%,98.50%,59.26%,0.14%,80.25%,4.99%,32.39%,46.48%,22.54%,0.00%,100.00%,58.37%,59.26%,0.08%,46.84%,2.34%,0.76%,1.09%,0.53%,0.00%,21519.3,3807.9,6716.0,57496.3,2857.9,2157.5,2020.3,2160.4,2389.8,####,2596884.0,562876.1,555879.1,32249.4,562189.2,84452.1,33083.0,85342.0,158657.6,####,56819.2,3358.9,3562.2,516.6,3259.7,2111.5,921.3,2114.9,3880.0,####
ST6-3 T24 0.2um filtrate,2020-09-02 10:47:14,30.0,,14.23,12.27,13.73,0.07,3.70,3.37,1.83,0.83,0.67,0.03,427,368,412,2,111,101,55,25,20,1,100.00%,89.32%,96.49%,0.49%,30.16%,90.99%,54.46%,24.75%,19.80%,0.99%,100.00%,86.18%,96.49%,0.47%,26.00%,23.65%,12.88%,5.85%,4.68%,0.23%,21480.9,9357.1,20311.8,61776.9,2120.7,2123.8,1868.0,2062.0,2750.4,5205.8,82581.5,42522.7,60641.9,78426.8,82581.5,85836.9,25213.1,102945.1,201850.4,672177.1,6423.3,2899.2,5476.1,8715.8,2450.5,2445.0,861.3,2667.9,5479.0,23293.2
ST6-3 T24 1-1,2020-09-02 10:49:37,30.0,,423.63,411.93,420.19,0.13,295.08,280.61,20.97,55.41,184.26,20.70,12707,12356,12604,4,8851,8417,629,1662,5527,621,100.00%,98.03%,99.19%,0.03%,71.63%,95.10%,7.47%,19.75%,65.66%,7.38%,100.00%,97.24%,99.19%,0.03%,69.65%,66.24%,4.95%,13.08%,43.50%,4.89%,5483.4,4354.2,5124.4,59310.2,2471.8,2454.2,2004.8,2146.6,2427.7,3965.0,149495.3,145864.3,144894.5,220753.7,186091.5,190171.1,34641.0,101774.6,198688.5,506842.8,6793.3,5796.5,6133.3,48914.8,5688.7,5731.6,1101.9,3100.6,6006.7,14961.3
ST6-3 T24 2-1,2020-09-02 10:51:27,30.0,,595.44,585.40,594.14,0.07,484.40,458.56,61.97,93.97,280.75,22.80,17862,17561,17823,2,14531,13756,1859,2819,8422,684,100.00%,98.53%,99.78%,0.01%,82.75%,94.67%,13.51%,20.49%,61.22%,4.97%,100.00%,98.31%,99.78%,0.01%,81.35%,77.01%,10.41%,15.78%,47.15%,3.83%,3864.8,2853.0,3698.4,68376.5,2397.1,2394.2,1950.0,2149.6,2442.4,4009.8,149263.2,144108.2,143209.0,83077.8,163103.3,166761.2,34446.2,90500.5,194882.6,495008.3,5642.3,4906.6,5119.4,27850.8,5024.0,5021.4,1140.8,2757.2,5875.5,14396.3
ST6-3 T24 3-1,2020-09-02 10:53:11,30.0,,613.38,595.68,610.01,0.07,437.47,384.97,105.03,135.00,123.90,21.93,18401,17870,18300,2,13124,11549,3151,4050,3717,658,100.00%,97.65%,99.45%,0.01%,73.44%,88.00%,27.28%,35.07%,32.18%,5.70%,100.00%,97.11%,99.45%,0.01%,71.32%,62.76%,17.12%,22.01%,20.20%,3.58%,4789.9,3683.1,4340.0,60785.2,2327.0,2310.6,1944.5,2141.5,2446.4,4346.0,113619.7,107836.6,107642.1,118319.5,128036.0,133680.1,34626.0,85483.5,196532.9,551493.6,6000.2,4601.5,4959.4,49612.4,4196.9,4112.8,1157.1,2641.6,5996.9,16737.1
ST6-3 T24 4-1,2020-09-02 10:56:03,30.0,,741.60,724.14,740.64,0.20,568.04,481.14,163.33,170.37,129.23,18.93,22248,21724,22219,6,17041,14434,4900,5111,3877,568,100.00%,97.77%,99.87%,0.03%,78.44%,84.70%,33.95%,35.41%,26.86%,3.94%,100.00%,97.64%,99.87%,0.03%,76.60%,64.88%,22.02%,22.97%,17.43%,2.55%,2883.6,2544.8,2749.8,62489.7,2266.7,2253.1,1950.1,2159.4,2451.1,4363.2,100024.9,96538.2,95965.7,97366.2,109594.7,114156.4,34418.6,81581.8,197036.8,531320.4,4577.9,3609.5,3781.1,26457.5,3691.4,3561.6,1180.2,2560.8,6045.8,16200.7
ST6-3 T24 5-1,2020-09-02 10:57:54,30.0,,905.00,882.94,901.44,0.10,671.07,579.07,199.80,203.47,155.40,21.20,27150,26488,27043,3,20132,17372,5994,6104,4662,636,100.00%,97.95%,99.61%,0.01%,76.00%,86.29%,34.50%,35.14%,26.84%,3.66%,100.00%,97.56%,99.61%,0.01%,74.15%,63.99%,22.08%,22.48%,17.17%,2.34%,3608.2,3086.5,3332.4,63669.7,2239.2,2223.2,1935.4,2152.1,2435.5,4070.7,95506.8,91602.6,91603.0,389592.5,106760.1,110655.7,33919.4,80380.5,194903.8,508579.1,4857.8,3794.5,4080.5,68855.2,3534.9,3432.9,1164.3,2515.1,5928.0,15390.1
ST6-3 T24 6-1,2020-09-02 10:59:55,30.0,,973.23,947.56,969.76,0.20,707.22,605.58,235.44,231.67,130.74,9.03,29196,28426,29092,6,21216,18167,7063,6950,3922,271,100.00%,97.71%,99.64%,0.02%,74.64%,85.63%,38.88%,38.26%,21.59%,1.49%,100.00%,97.36%,99.64%,0.02%,72.67%,62.22%,24.19%,23.80%,13.43%,0.93%,3653.8,3148.5,3430.6,65371.1,2218.3,2188.0,1971.5,2187.1,2443.8,4160.8,79592.6,76683.7,76576.2,305892.7,88240.1,89711.4,33752.7,80442.6,180694.5,475297.7,4106.6,3274.4,3497.9,62779.4,3034.0,2799.8,1159.8,2503.5,5474.0,14613.1
ST6-3 T24 7-1,2020-09-02 11:02:05,30.0,,3896.02,3840.42,3860.18,0.07,3542.02,3192.31,174.10,730.90,2047.11,248.77,116880,115212,115805,2,106260,95769,5223,21927,61413,7463,100.00%,99.49%,99.08%,0.00%,92.23%,90.13%,5.45%,22.90%,64.13%,7.79%,100.00%,98.57%,99.08%,0.00%,90.91%,81.94%,4.47%,18.76%,52.54%,6.39%,2940.8,2788.3,2818.3,59305.8,2650.1,2640.8,2015.3,2220.4,2579.8,4810.2,189425.4,181460.5,181094.9,59873.6,182530.2,187927.0,33457.6,103914.2,191890.3,509385.4,6675.8,6153.0,6186.3,31736.8,5995.7,6001.8,1158.8,3338.7,6139.9,16050.7
