Experiment Name:,Exp_20201021_HNF

Tube Name:,Record Time:,Volume(μL):,HNF (cells/mL) =:,Comment:,All Events ,SYBR Events,SYBR' Events,Nano Events,APP Events,HNF Events,HNF' Events,All Events  Events/μL(V),SYBR Events/μL(V),SYBR' Events/μL(V),Nano Events/μL(V),APP Events/μL(V),HNF Events/μL(V),HNF' Events/μL(V),All Events  % Parent,SYBR % Parent,SYBR' % Parent,Nano % Parent,APP % Parent,HNF % Parent,HNF' % Parent,All Events  % Total,SYBR % Total,SYBR' % Total,Nano % Total,APP % Total,HNF % Total,HNF' % Total,All Events  Mean FSC-H,SYBR Mean FSC-H,SYBR' Mean FSC-H,Nano Mean FSC-H,APP Mean FSC-H,HNF Mean FSC-H,HNF' Mean FSC-H,All Events  Mean SSC-H,SYBR Mean SSC-H,SYBR' Mean SSC-H,Nano Mean SSC-H,APP Mean SSC-H,HNF Mean SSC-H,HNF' Mean SSC-H,All Events  Mean BL525-H,SYBR Mean BL525-H,SYBR' Mean BL525-H,Nano Mean BL525-H,APP Mean BL525-H,HNF Mean BL525-H,HNF' Mean BL525-H
ST 2-3 Treat 6 T0,2020-10-21 09:45:34,1005.0,123.38,NOR3_CR0015_St.6-5,13611,7507,4749,1385,1237,124,121,13.54,7.47,4.73,1.38,1.23,0.12,0.12,100.00%,55.15%,63.26%,29.16%,89.31%,8.95%,8.74%,100.00%,55.15%,34.89%,10.18%,9.09%,0.91%,0.89%,61063.3,23310.2,21134.1,37221.1,36142.6,47440.9,47285.1,527224.5,44795.4,13471.3,22120.4,22431.7,17100.4,17295.5,217902.2,330387.0,495201.0,712807.2,679022.9,909785.3,908526.1
ST 2-3 Treat 7 T0,2020-10-21 09:52:00,1005.0,173.14,NOR3_CR0015_St.6-5,14825,9438,4622,1700,1468,174,163,14.75,9.39,4.60,1.69,1.46,0.17,0.16,100.00%,63.66%,48.97%,36.78%,86.35%,10.24%,9.59%,100.00%,63.66%,31.18%,11.47%,9.90%,1.17%,1.10%,88246.9,27200.1,25911.6,44390.3,45041.6,38570.2,39217.7,777389.7,53542.8,14947.5,27039.8,28477.7,16516.1,16562.9,184241.8,219245.6,398453.4,620618.3,554388.4,1120551.5,1156009.1
ST 2-3 Treat 8 T0,2020-10-21 09:59:24,1005.0,170.15,NOR3_CR0015_St.6-5,14830,9339,4428,1748,1515,171,162,14.76,9.29,4.41,1.74,1.51,0.17,0.16,100.00%,62.97%,47.41%,39.48%,86.67%,9.78%,9.27%,100.00%,62.97%,29.86%,11.79%,10.22%,1.15%,1.09%,81366.2,28274.0,27513.5,45786.0,46440.0,40361.4,40088.9,658012.6,55001.4,14790.9,25660.2,26899.4,16816.2,16132.6,198535.4,219762.8,412649.8,603561.3,553323.0,1011778.6,1023764.4
ST 2-3 Treat 9 T0,2020-10-21 10:05:38,1005.0,267.66,NOR3_CR0015_St.6-5,15183,10903,5993,2354,1994,269,248,15.11,10.85,5.96,2.34,1.98,0.27,0.25,100.00%,71.81%,54.97%,39.28%,84.71%,11.43%,10.54%,100.00%,71.81%,39.47%,15.50%,13.13%,1.77%,1.63%,49284.1,26164.2,25994.2,42934.7,43474.2,37792.0,36812.9,309296.7,34811.4,14866.5,24039.8,25604.7,13246.5,11936.4,240650.4,242248.5,403518.9,585819.6,504430.0,1088973.3,1118373.6
ST 2-3 Treat 10 T0,2020-10-21 10:11:37,1005.0,389.06,NOR3_CR0015_St.6-5,28553,20248,10552,4954,4440,391,370,28.41,20.15,10.50,4.93,4.42,0.39,0.37,100.00%,70.91%,52.11%,46.95%,89.62%,7.89%,7.47%,100.00%,70.91%,36.96%,17.35%,15.55%,1.37%,1.30%,45532.9,28079.5,27897.0,42119.5,42565.9,35179.3,34471.5,254611.9,41704.3,17251.2,25875.8,26845.1,15195.1,14088.3,207875.2,231966.4,401686.2,564458.4,525725.6,904230.8,897379.8
ST 2-3 Treat 11 T0,2020-10-21 10:17:24,1005.0,258.71,NOR3_CR0015_St.6-5,27848,18305,12386,3847,3508,260,238,27.71,18.21,12.32,3.83,3.49,0.26,0.24,100.00%,65.73%,67.66%,31.06%,91.19%,6.76%,6.19%,100.00%,65.73%,44.48%,13.81%,12.60%,0.93%,0.85%,39958.2,22574.6,20395.6,34635.0,34439.6,33443.5,33515.2,239750.5,33834.9,11430.7,18120.1,18439.1,11908.0,11523.2,195506.7,241488.0,335815.0,484988.5,436667.4,1023205.1,1056944.6
ST 6-3 Treat 6-1 T24,2020-10-21 10:23:23,1004.8,56.73,NOR3_CR0015_St.6-5,7760,4872,2913,978,905,57,57,7.72,4.85,2.90,0.97,0.90,0.06,0.06,100.00%,62.78%,59.79%,33.57%,92.54%,5.83%,5.83%,100.00%,62.78%,37.54%,12.60%,11.66%,0.73%,0.73%,91434.8,27741.1,22743.2,36773.4,36042.7,47913.3,48140.9,751085.4,73257.2,14412.7,22187.7,22020.5,25497.6,24056.0,217757.9,255209.6,385454.4,541455.6,506854.8,1099244.3,1011829.1
ST 6-3 Treat 6-2 T24,2020-10-21 10:29:11,1005.0,33.83,NOR3_CR0015_St.6-5,6986,4026,2551,826,785,34,34,6.95,4.01,2.54,0.82,0.78,0.03,0.03,100.00%,57.63%,63.36%,32.38%,95.04%,4.12%,4.12%,100.00%,57.63%,36.52%,11.82%,11.24%,0.49%,0.49%,116111.9,30482.0,23387.8,38374.0,38473.3,37710.2,37710.2,998631.5,121277.6,15466.6,25329.8,26005.9,13288.8,13288.8,176695.3,244856.7,351624.4,531296.6,509950.3,964407.4,964407.4
ST 6-3 Treat 7-1 T24,2020-10-21 10:35:16,1005.0,983.08,NOR3_CR0015_St.6-5,13189,9669,7304,2049,1000,988,996,13.12,9.62,7.27,2.04,1.00,0.98,0.99,100.00%,73.31%,75.54%,28.05%,48.80%,48.22%,48.61%,100.00%,73.31%,55.38%,15.54%,7.58%,7.49%,7.55%,63032.6,24240.5,20359.9,35372.7,35753.2,34414.8,34579.2,455462.8,66382.7,13846.1,22841.7,23787.0,20526.7,20938.8,324989.6,381863.1,485920.2,718316.5,589384.7,849935.6,852980.4
ST 6-3 Treat 7-2 T24,2020-10-21 10:44:16,1004.9,1303.55,NOR3_CR0015_St.6-5,16345,12639,10265,2453,1001,1310,1326,16.26,12.58,10.21,2.44,1.00,1.30,1.32,100.00%,77.33%,81.22%,23.90%,40.81%,53.40%,54.06%,100.00%,77.33%,62.80%,15.01%,6.12%,8.01%,8.11%,58938.7,22565.8,19495.3,35749.9,37979.5,33776.9,34034.9,413175.1,46834.9,12322.0,22468.1,25272.8,19180.8,19682.9,392303.3,441850.8,529895.6,772022.1,600705.3,899412.8,907950.4
